athlete_id,medal_date,medal_code,event_id,country_id,name,birth_date,gender,height,weight,education,country,disciplines,Gold Medal,Silver Medal,Bronze Medal,Total
1538159,2024-07-30,3.0,10m Air Pistol Mixed Team,IND,Manu BHAKER,2002-02-18,Female,0.0,0.0,Graduated in 2021 with an Honours degree in Political Science from the University of Delhi (IND). </p><p>Studying Public Administration at Punjab University (IND),India,Shooting,0,1,5,6
1538160,2024-08-03,2.0,Men's Single Sculls,AIN,Yauheni ZALATY,1999-09-09,Male,0.0,0.0,"",AIN,Rowing,1,3,1,5
1538244,2024-08-09,3.0,Women,ARG,Agustina ALBERTARRIO,1993-01-01,Female,0.0,0.0,"",Argentina,Hockey,1,1,1,3
1538253,2024-08-09,3.0,Women,ARG,Agostina ALONSO,1995-10-01,Female,0.0,0.0,Studied Human Movement at the University Institute of Health Sciences of Barcelo Foundation (ARG),Argentina,Hockey,1,1,1,3
1538260,2024-08-09,3.0,Women,ARG,Maria CAMPOY,1990-10-06,Female,0.0,0.0,"",Argentina,Hockey,1,1,1,3
1538261,2024-08-09,3.0,Women,ARG,Sofia CAIRO,2002-10-08,Female,0.0,0.0,"",Argentina,Hockey,1,1,1,3
1538262,2024-08-09,3.0,Women,ARG,Lara CASAS,2004-06-22,Female,0.0,0.0,"",Argentina,Hockey,1,1,1,3
1538263,2024-08-09,3.0,Women,ARG,Juana CASTELLARO MORELLO,2005-03-29,Female,0.0,0.0,"",Argentina,Hockey,1,1,1,3
1538266,2024-08-09,3.0,Women,ARG,Cristina COSENTINO,1997-12-22,Female,0.0,0.0,"",Argentina,Hockey,1,1,1,3
1538274,2024-08-09,3.0,Women,ARG,Agustina GORZELANY,1996-03-11,Female,0.0,0.0,Attended the University of Buenos Aires (ARG),Argentina,Hockey,1,1,1,3
1538276,2024-08-09,3.0,Women,ARG,Maria GRANATTO,1995-04-21,Female,0.0,0.0,Studied Physical Education at the National University of La Plata (ARG),Argentina,Hockey,1,1,1,3
