athlete_id,name,birth_date,gender,country,height,weight,education
1564672,Emil JARUDD,1998-04-27,Male,Sweden,0.0,0.0,Civil Engineering and Industrial Economics at KTH Royal Institute of Technology (SWE)
1564681,Lonah Chemtai SALPETER,1988-12-12,Female,Israel,165.0,0.0,""
1564692,YANG Chun-Han,1997-01-01,Male,Chinese Taipei,177.0,0.0,"Sport Studies at Taiwan University of Sport (Taichung, TPE)"
1564700,PENG Ming-Yang,1998-06-10,Male,Chinese Taipei,187.0,0.0,National University of Science and Technology
1564718,Azmy MEHELBA,1991-03-26,Male,Egypt,0.0,0.0,"Graduated in 2013 with a Bachelor's degree in Industrial Engineering at the Arab Academy for Science, Technology and Maritime Transport (Alexandria, EGY)"
1564734,Mohamed HAMDY ABDELKADER,1990-08-07,Male,Egypt,0.0,0.0,""
1564737,Maor TIYOURI,1990-08-13,Female,Israel,148.0,0.0,"Exercise Science, Sports Science at University of San Francisco (CA, USA)"
1564770,Enkhkhuslen BATBAYAR,2001-12-14,Female,Mongolia,0.0,0.0,"National University of Mongolia (Ulaanbaatar, MGL)"
1564777,Remas KHALIL,2006-10-01,Female,Egypt,0.0,0.0,""
1564785,Hala ELGOHARI,1996-05-04,Female,Egypt,0.0,0.0,""
1564792,Amira ABOUSHOKKA,1979-08-15,Female,Egypt,0.0,0.0,Graduated with a Bachelor of Arts in French Language then studied at the Faculty of Law at Cairo University (EGY)
1564795,Omar IBRAHIM,1998-01-01,Male,Egypt,0.0,0.0,Earned a Bachelor's degree in Mass Communication
1564799,Adaku NWANDU,2007-09-29,Female,Nigeria,0.0,0.0,""
1564802,Ibrahim Ahmad Mohammad KORAYIEM,1987-04-16,Male,Egypt,0.0,0.0,""
1564809,Didier KIKI,1995-11-30,Male,Benin,187.0,0.0,""
1564881,Sena CAN,2001-11-10,Female,Türkiye,0.0,0.0,Studying Sports Science at the Selçuk University (TUR)
1564882,Ismail KELES,1988-03-05,Male,Türkiye,0.0,0.0,"Studied at the Anadolu University (Eskisehir, TUR)"
1564884,Antoaneta KOSTADINOVA,1986-01-17,Female,Bulgaria,0.0,0.0,"Graduated in 2022 with a Master's degree in Social Activities from the Shumen University (Shumen, BUL)"
1564886,Sevval Ilayda TARHAN,2000-02-04,Female,Türkiye,0.0,0.0,Graduated in Physical Education at Gazi University (TUR)
1564888,Simal YILMAZ,2003-06-21,Female,Türkiye,0.0,0.0,""
1564889,Kiril KIROV,2000-02-19,Male,Bulgaria,0.0,0.0,Completed a Bachelor's degree in Biology and Chemistry. He is currently studying Dental Medicine
1564893,Yusuf DIKEC,1973-01-01,Male,Türkiye,0.0,0.0,"Studied at the Gazi University School of Physical Training and Education (Ankara, TUR) and received a Master's in Coaching from the Selcuk University (Konya, TUR)"
1564907,Oguzhan TUZUN,1982-10-20,Male,Türkiye,0.0,0.0,"Studied at the Marmara University (Istanbul, TUR)"
1564926,Rumeysa Pelin KAYA,2000-08-06,Female,Türkiye,0.0,0.0,Studied Physical Education at the Kahramanmaraş Sutcu Imam University (TUR)
1564959,Ayomide Powei BELLO,2002-04-04,Female,Nigeria,0.0,0.0,""
1564964,Kirani JAMES,1992-09-01,Male,Grenada,191.0,0.0,"Business at University of Alabama, Tuscaloosa, AL (USA)"
1564977,Beauty Akinaere OTUEDO,1997-10-10,Female,Nigeria,0.0,0.0,""
1565000,Mete GAZOZ,1999-06-08,Male,Türkiye,0.0,0.0,"Studies Sport Management at Nisantasi University (Istanbul, TUR)"
1565002,Berkim TUMER,2002-04-30,Male,Türkiye,0.0,0.0,"Studies Coaching at Akdeniz University Sport Sciences Academy (Antalya, TUR)"
1565006,Abdullah YILDIRMIS,2003-11-07,Male,Türkiye,0.0,0.0,""
1565008,Tomislav PUCAR,1996-01-26,Male,Croatia,0.0,0.0,Sport Studies at the University of Zagreb (CRO)
1565009,Andrej GACINA,1986-05-21,Male,Croatia,0.0,0.0,""
1565010,Filip ZELJKO,1996-11-16,Male,Croatia,0.0,0.0,""
1565013,Ivana MALOBABIC,1980-07-04,Female,Croatia,0.0,0.0,""
1565024,Elif Berra GOKKIR,2007-01-11,Female,Türkiye,0.0,0.0,""
1565037,Desislava ANGELOVA,1997-10-16,Female,Bulgaria,0.0,0.0,""
1565039,Kristian VASILEV,1991-11-18,Male,Bulgaria,0.0,0.0,""
1565052,Nour Abbas MOHAMMED,1997-04-26,Female,Egypt,0.0,0.0,""
1565059,Omar Khaled ABDELHADY MOHAMED,1998-09-30,Male,Egypt,0.0,0.0,""
1565072,Agnes ALEXIUSSON,1996-04-19,Female,Sweden,170.0,0.0,""
1565074,Nebil IBRAHIM,2000-12-02,Male,Sweden,172.0,0.0,""
1565081,Mai Magdy ELSAYED ABUQARN,1999-08-23,Female,Egypt,0.0,0.0,""
1565088,Maggy ASHMAWY,1992-10-01,Female,Egypt,0.0,0.0,"Studied Political Science at American University in Cairo, Egypt"
1565100,Youssef KROU,1989-06-19,Male,France,190.0,0.0,""
1565101,Arnaud GAUTHIER-RAT,1996-10-22,Male,France,196.0,0.0,Studying engineering at National Institute of Applied Sciences of Toulouse (FRA)
1565102,Julien LYNEEL,1990-04-15,Male,France,192.0,0.0,""
1565103,Remi BASSEREAU,1999-02-26,Male,France,194.0,0.0,""
1565106,Alexia RICHARD,1996-04-03,Female,France,184.0,0.0,Graduated with a Bachelor's degree in Communications from Paul Sabatier Toulouse III University (FRA)
1565107,Lezana PLACETTE,1997-12-11,Female,France,180.0,0.0,She studied a Master's degree in Management at EM Grenoble (FRA)
1565108,Aline CHAMEREAU,1996-03-06,Female,France,186.0,0.0,Graduated with a STAPS degree in Sports Management from Paul Sabatier University Toulouse III (FRA) and an MBA from Studi (FRA)
1565109,Clemence VIEIRA,2000-11-01,Female,France,177.0,0.0,"Graduated with a Bachelor's degree in Science from the National Institute of Applied Science (Toulouse, FRA)"
1565114,Bacar NDUM,2001-06-20,Male,Guinea-Bissau,0.0,0.0,""
1565145,Diamantino IUNA FAFE,2001-06-10,Male,Guinea-Bissau,0.0,0.0,""
1565147,Felix AUBOECK,1996-12-19,Male,Austria,0.0,0.0,"Studying for a PhD in International Relations, Politics and History at Loughborough University (GBR).</p><p>Graduated in 2022 with a Master’s in International Financial and Political Relations at Loughborough University (GBR). </p><p>Graduated in 2020 with a Political Science and History degree at University of Michigan (Ann Arbor, MI, USA)"
1565148,Valentin BAYER,1999-12-08,Male,Austria,0.0,0.0,""
1565150,Simon BUCHER,2000-05-23,Male,Austria,0.0,0.0,""
1565154,Martin ESPERNBERGER,2003-12-20,Male,Austria,0.0,0.0,"Studies Electrical Engineering at University of Tennessee (Knoxville, USA)"
1565155,Heiko GIGLER,1996-06-17,Male,Austria,0.0,0.0,Studied at University of Graz (AUT)
1565158,Jan HERCOG,1998-02-10,Male,Austria,0.0,0.0,Studied Sports Science at University of Wurzburg (GER)
1565161,Lena KREUNDL,1997-09-19,Female,Austria,0.0,0.0,""
1565166,Bernhard REITSHAMMER,1994-06-17,Male,Austria,0.0,0.0,""
1565170,Anna-Maria ALEXANDRI,1997-09-15,Female,Austria,0.0,0.0,Studied at the University of Vienna (AUT)
1565171,Eirini-Marina ALEXANDRI,1997-09-15,Female,Austria,0.0,0.0,Studied at the University of Vienna (AUT)
1565173,Anton KNOLL,2004-11-21,Male,Austria,0.0,0.0,""
1565210,Anthony COX,2000-08-26,Male,Jamaica,182.0,0.0,""
1565212,Samuel FREIRE,1990-08-28,Male,Cabo Verde,180.0,0.0,""
1565215,Marlena JAWAID,2000-08-16,Female,Sweden,0.0,0.0,Received a Bachelor's degree in International Business and Politics from Stockholm University (SWE) in 2023
1565232,Irvin HOOST,1999-04-19,Male,Suriname,0.0,0.0,"Studied Graphic Design at Savannah College of Art and Design (Savannah, GA, USA)"
1565505,LIN Yu-Tang,2000-05-11,Male,Chinese Taipei,174.0,0.0,"Studied in the Department of Sports and Athletics of Evergreen University (Guiren District, Tainan, TPE)"
1565546,Waisake TEWA,2003-09-18,Male,Fiji,185.0,0.0,Pursuing a Certificate in Carpentry Engineering at Fiji National University
1565550,ZHANG Bo-Ya,2003-04-03,Female,Chinese Taipei,166.0,0.0,""
1565557,Manami IIJIMA,1992-10-20,Female,Guam,0.0,0.0,""
1565569,Mia Lahnee Ramos AQUINO,1998-03-29,Female,Guam,0.0,0.0,""
1565570,Rckaela Maree Ramos AQUINO,1999-07-04,Female,Guam,0.0,0.0,""
1565579,Sharofiddin BOLTABOEV,1995-11-19,Male,Uzbekistan,0.0,0.0,Studied at Koraqolpoq Sport University (UZB)
1565615,LIEN Chen-Ling,1988-01-31,Female,Chinese Taipei,0.0,0.0,"Master of Arts in Athletic Coaching at Department of Physical Education, Chinese Culture University, Chinese Taipei (2015-2020). </p><p>Bachelor of Law at University of Yamanashi, Japan (2011-2014)"
1565618,YANG Yung Wei,1997-09-28,Male,Chinese Taipei,0.0,0.0,Master's degree in Sports Performance from National Taiwan University of Sports (TPE)
1565620,LIN Chen-Hao,1997-10-26,Female,Chinese Taipei,0.0,0.0,Studying for master’s degree in Sports Performance at National Taiwan University of Sports (Taichung TPE)
1565621,Rama ABO-ALRUB,2001-06-08,Female,Jordan,0.0,0.0,"Studying Applied Science at Private University (Amman, JOR)"
