coach_id,name,gender,function,country,disciplines,birth_date
1958764,URIETA GUTIERREZ Madelen,Female,Assistant Coach,Spain,Basketball,1981-08-21
1959349,CAREY Brian,Male,Coach,United States,Artistic Gymnastics,1973-09-22
1959353,LANDI Cecile,Female,Coach,United States,Artistic Gymnastics,1979-10-03
1959368,BRECKENRIDGE Grant,Male,Coach,United States,Artistic Gymnastics,1997-04-08
1959369,SUN Sonia,Female,Coach,United States,Artistic Gymnastics,1977-01-26
1959382,GRABA Jess,Male,Coach,United States,Artistic Gymnastics,1968-12-26
1959384,GAARENSTROOM Jordan,Male,Coach,United States,Artistic Gymnastics,1992-01-14
1959395,LANDI Laurent,Male,Coach,United States,Artistic Gymnastics,1977-10-18
1959400,KLIMOUK Natalia,Female,Coach,United States,Rhythmic Gymnastics,1968-01-09
1959405,CAESAR Syque,Male,Coach,United States,Artistic Gymnastics,1990-08-22
1959412,MIKULAK Sam,Male,Coach,United States,Artistic Gymnastics,1992-10-13
1959432,LIUKIN Valeri,Male,Coach,United States,Artistic Gymnastics,1966-12-17
1960844,BARRIEAU Jocelyn,Female,Assistant Coach,Canada,Rugby Sevens,1982-02-09
1960845,HANRATTY Jack,Male,Head Coach,Canada,Rugby Sevens,1989-05-09
1960848,MONAGHAN Iain,Male,Assistant Coach,Canada,Rugby Sevens,1980-08-08
1960860,JOYCE Jenn,Female,Assistant Coach,Canada,Rugby Sevens,1900-01-01
1961375,KONE Thierry,Male,Coach,Côte d'Ivoire,Taekwondo,1981-07-01
1961586,VOLAVOLA Timoci,Male,Assistant Coach,Fiji,Rugby Sevens,1978-09-27
1961712,TUIFUA Tevita,Male,Head Coach,Tonga,Rugby Sevens,1975-10-15
1961720,OTUMULI Mavae,Male,Head Coach,Tonga,Rugby Sevens,1984-07-22
1961741,VAIANGINA Ekitino,Male,Head Coach,Tonga,Rugby Sevens,1970-03-09
1961751,LIUTAI Malika,Male,Head Coach,Tonga,Rugby Sevens,1964-02-07
1961912,FULI Saiasi,Male,Head Coach,Fiji,Rugby Sevens,1978-03-16
1962265,TOPPING James,Male,Head Coach,Ireland,Rugby Sevens,1974-12-18
1962452,TEMPLE-JONES Allan,Male,Head Coach,Ireland,Rugby Sevens,1981-01-23
1962481,WONG Ka Wing,Male,Coach,"Hong Kong, China",Taekwondo,1974-08-06
1963019,MICALE Rogerio,Male,Head Coach,Egypt,Football,1969-03-28
1963171,LERGA Javier,Male,Assistant Coach,Spain,Football,1979-08-10
1963174,SANCHEZ Carlos,Male,Goalkeeper Coach,Spain,Football,1978-01-19
1963175,TOME Montse,Female,Head Coach,Spain,Football,1982-05-11
1963555,BAYER Steven,Male,Coach,Belgium,Hockey,1978-02-27
1963556,WHITE Tim,Male,Assistant Coach,Belgium,Hockey,1966-02-26
1963627,LOPEZ ROMERO Victor Hugo,Male,Assistant Coach,Japan,Handball,1982-11-23
1963628,ORTEGA PEREZ Antonio Carlos,Male,Head Coach,Japan,Handball,1971-07-14
1964423,ROCHA de REZENDE Bernardo,Male,Head Coach,Brazil,Volleyball,1959-08-25
1964448,RIBAS Giuliano,Male,Assistant Coach,Brazil,Volleyball,1900-01-01
1964453,LAGES GUIMARAES Jose Roberto,Male,Head Coach,Brazil,Volleyball,1954-07-31
1964473,DO REGO BARROS JUNIOR Paulo,Male,Assistant Coach,Brazil,Volleyball,1900-01-01
1964481,LEONALDO Roberley Luiz,Male,Assistant Coach,Brazil,Volleyball,1900-01-01
1964485,TABACH Ricardo,Male,Assistant Coach,Brazil,Volleyball,1900-01-01
1964492,COPPINI FERNANDES Wagner Luiz,Male,Assistant Coach,Brazil,Volleyball,1900-01-01
1965161,KEET Marcelle,Female,Assistant Coach,South Africa,Hockey,1984-10-25
1965168,BONNET Giles,Male,Head Coach,South Africa,Hockey,1965-02-10
1965644,GIL Carlos,Male,Coach,Panama,Artistic Gymnastics,1985-06-12
1967242,LAWRENCE Natalie,Female,Assistant Coach,New Zealand,Football,1984-07-05
1967254,HERST Jen,Female,Goalkeeper Coach,Canada,Football,1986-04-29
1967256,MANDER Jasmine,Female,Assistant Coach,Canada,Football,1995-05-23
1967258,PRIESTMAN Bev,Female,Head Coach,Canada,Football,1986-04-28
1967262,SPENCE Andy,Male,Assistant Coach,Canada,Football,1983-01-08
1967313,PARK Jae,Male,Coach,Canada,Taekwondo,1969-04-19
1967315,THORNTON Daniel,Male,Coach,Canada,Taekwondo,1974-04-21
1967332,LIMA Brian,Male,Head Coach,Samoa,Rugby Sevens,1972-01-25
1967468,PARADELO David,Male,Head Coach,Canada,Water Polo,1985-10-07
1967471,POSTERIVO Stefano,Male,Assistant Coach,Canada,Water Polo,1967-11-02
1967472,CAMPBELL Cora,Female,Assistant Coach,Canada,Water Polo,1974-05-28
1967642,IGLESIAS Rodrigo,Male,Assistant Coach,Brazil,Football,1900-01-01
1967672,ALCANTARA Edson,Male,Goalkeeper Coach,Brazil,Football,1900-01-01
1967683,ELIAS Arthur,Male,Head Coach,Brazil,Football,1981-08-05
1968210,LALOMILO Faamaoni,Male,Assistant Coach,Samoa,Rugby Sevens,1971-01-30
1968247,CIRKOVIC Vedran,Male,Assistant Coach,Australia,Water Polo,1988-03-14
1968453,CHERNETSKA Nataliya,Female,Coach,Greece,Artistic Swimming,1974-04-01
1968484,KAMMENOU Alexia Anna,Female,Head Coach,Greece,Water Polo,1969-07-25
1968489,LEMPESIS Xenofon,Male,Assistant Coach,Greece,Water Polo,1972-12-16
1968491,PYRPYRIS Anastasios,Male,Assistant Coach,Greece,Water Polo,1983-04-15
1968492,SCHIZAS Anastasios,Male,Assistant Coach,Greece,Water Polo,1977-02-18
1968495,VLACHOS Theodoros,Male,Head Coach,Greece,Water Polo,1969-07-09
1968531,KANTZOURIS Ilias,Male,Assistant Coach,Greece,Basketball,1973-08-11
1968540,SPANOULIS Vasilis,Male,Coach,Greece,Basketball,1982-08-07
1968567,RAFTIS Dimitrios,Male,Coach,Greece,Artistic Gymnastics,1967-12-19
1968759,JENNINGS Stephen,Male,Coach,EOR,Taekwondo,1981-12-25
1968802,FJELLSTROM Jens,Male,Assistant Coach,Australia,Football,1966-10-27
1968822,ANDREATTA Mel,Female,Assistant Coach,Australia,Football,1979-01-26
1968838,GUSTAVSSON Tony,Male,Head Coach,Australia,Football,1973-08-14
1968868,van ECK Richard,Male,Assistant Coach,Netherlands,Water Polo,1983-03-08
1968871,DOUDESIS Eva,Male,Head Coach,Netherlands,Water Polo,1985-03-12
1968964,MOGHANLOU Bijan,Male,Coach,Egypt,Taekwondo,1969-10-21
1969275,SICOT David Patrick,Male,Coach,Lebanon,Taekwondo,1985-10-24
1969357,SEKTIOUI Tarik,Male,Head Coach,Morocco,Football,1900-01-01
1969386,HADJI Youssouf,Male,Assistant Coach,Morocco,Football,1980-02-25
1969466,BADAWI Ghanem,Male,Coach,Syria,Artistic Gymnastics,1980-04-01
1970225,van der VEEN Jose,Female,Coach,Netherlands,Artistic Gymnastics,1977-05-18
1970227,WEVERS Vincent,Male,Coach,Netherlands,Artistic Gymnastics,1962-09-28
1970228,den UIJL Kevin,Male,Coach,Netherlands,Artistic Gymnastics,1995-08-22
1970229,JACOBS Jeroen,Male,Coach,Netherlands,Artistic Gymnastics,1971-11-21
1970235,KLEUSKENS Marcel,Male,Coach,Netherlands,Artistic Gymnastics,1982-04-17
1970236,KNIBBELER Daniel,Male,Coach,Netherlands,Artistic Gymnastics,1980-02-10
1970237,van MELDERT Dirk Jan,Male,Coach,Netherlands,Artistic Gymnastics,1965-12-03
1970317,CLARIJS Ricardo,Male,Assistant Coach,Netherlands,Handball,1990-04-22
1970322,JOHANSSON Per,Male,Head Coach,Netherlands,Handball,1970-11-10
1970733,GOUTSEVA Anastasia,Female,Coach,Greece,Artistic Swimming,1975-04-29
1970859,SOKOLOVA Natalia,Female,Coach,Cyprus,Rhythmic Gymnastics,1976-06-14
1970880,OGEYINGBO Ayodeji,Male,Coach,Nigeria,Basketball,1994-06-30
1970974,DERAEDT Laurent,Male,Goalkeeper Coach,Morocco,Football,1973-10-20
1971523,LESZNER Joe,Male,Coach,Canada,Archery,1900-01-01
1972037,TICHELMAN Thomas,Male,Assistant Coach,Netherlands,Hockey,1960-03-22
1972052,van ASS Paul,Male,Head Coach,Netherlands,Hockey,1960-08-16
1972055,DELMEE Jeroen,Male,Head Coach,Netherlands,Hockey,1973-03-08
1972056,VERBOOM Eric,Male,Assistant Coach,Netherlands,Hockey,1970-02-01
1972359,ALIYEVA Kamilla,Female,Coach,Azerbaijan,Rhythmic Gymnastics,2006-04-03
1972419,VILYAYEVA Yevgeniya,Female,Coach,Azerbaijan,Rhythmic Gymnastics,1994-01-08
1972423,VASILEVA Siyana,Female,Coach,Azerbaijan,Rhythmic Gymnastics,1996-03-03
1972426,GULIYEV Kamil,Male,Coach,Azerbaijan,Rhythmic Gymnastics,1993-09-21
1972427,KARIMLI Akif,Male,Coach,Azerbaijan,Rhythmic Gymnastics,1995-03-25
1972461,JAUMA CAYUELA Esther,Female,Coach,Netherlands,Artistic Swimming,1970-05-07
1972652,GIE Cheslyn,Male,Head Coach,South Africa,Hockey,1975-07-30
1972655,NTULI Siphesihle,Male,Assistant Coach,South Africa,Hockey,1989-01-29
1972933,GOMEZ Ibai,Male,Head Coach,Dominican Republic,Football,1989-11-11
1972934,RAMOS SANCHEZ Antonio,Male,Coach,Côte d'Ivoire,Taekwondo,1976-08-18
1972992,AMOREBIETA Fernando,Male,Assistant Coach,Dominican Republic,Football,1985-03-29
1973058,BRITEZ Cristhian,Male,Goalkeeper Coach,Dominican Republic,Football,1984-09-25
1973138,BALAN Adrian,Male,Coach,Canada,Artistic Gymnastics,1971-05-04
1973147,COWAN Lisa,Female,Coach,Canada,Artistic Gymnastics,1969-08-03
1973162,KIKUCHI David,Male,Coach,Canada,Artistic Gymnastics,1979-12-27
1973180,van HOOF Ed,Male,Coach,Canada,Artistic Gymnastics,1956-08-22
1973374,FALSETTA Ross,Male,Coach,Great Britain,Artistic Gymnastics,1985-10-02
1973377,DENG Ajou,Male,Assistant Coach,South Sudan,Basketball,1978-12-24
1973378,WIGNALL Rachel,Female,Coach,Great Britain,Artistic Gymnastics,1989-08-07
1973524,MEIJER Eric,Male,Assistant Coach,Netherlands,Volleyball,1989-09-26
1973525,KOSLOWSKI Felix,Male,Head Coach,Netherlands,Volleyball,1984-03-18
1973532,FERRER CUTINO Gil,Male,Assistant Coach,Netherlands,Volleyball,1971-10-11
1973576,IVEY Royal,Male,Coach,South Sudan,Basketball,1981-12-20
1973651,KOUDI Mandela,Male,Coach,South Sudan,Basketball,1991-11-21
1973693,CHIEJINE Ann,Female,Assistant Coach,Nigeria,Football,1974-02-02
1974021,KULESZA Kasia,Female,Coach,Canada,Artistic Swimming,1976-08-29
