athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,gold_medal,silver_medal,bronze_medal,total
1540334,8/10/2024,Bronze Medal,Weightlifting,Bahrain,Gor MINASYAN,10/25/1994,Male,0,0,2,1,1,4
1540353,8/9/2024,Gold Medal,Boxing,Algeria,Imane KHELIF,5/2/1999,Female,178,0,2,0,1,3
1541265,8/3/2024,Bronze Medal,Archery,France,Lisa BARBELIN,4/10/2000,Female,0,0,16,26,22,64
1541270,7/29/2024,Silver Medal,Archery,France,Baptiste ADDIS,12/7/2006,Male,0,0,16,26,22,64
1541272,7/29/2024,Silver Medal,Archery,France,Thomas CHIRAULT,9/15/1997,Male,0,0,16,26,22,64
1541275,7/29/2024,Silver Medal,Archery,France,Jean-Charles VALLADONT,3/20/1989,Male,0,0,16,26,22,64
1541614,8/2/2024,Bronze Medal,Badminton,Japan,WATANABE Yuta,6/13/1997,Male,167,0,20,12,13,45
1541619,8/2/2024,Bronze Medal,Badminton,Japan,HIGASHINO Arisa,8/1/1996,Female,160,0,20,12,13,45
1541629,8/3/2024,Bronze Medal,Badminton,Japan,SHIDA Chiharu,4/29/1997,Female,162,0,20,12,13,45
1541630,8/3/2024,Bronze Medal,Badminton,Japan,MATSUYAMA Nami,6/28/1998,Female,166,0,20,12,13,45
1543015,8/8/2024,Bronze Medal,Hockey,India,Sreejesh PARATTU RAVEENDRAN,5/8/1988,Male,0,0,0,1,5,6
1543017,8/8/2024,Bronze Medal,Hockey,India,Harmanpreet SINGH,1/6/1996,Male,0,0,0,1,5,6
1543019,8/8/2024,Bronze Medal,Hockey,India,Jarmanpreet SINGH,7/18/1996,Male,0,0,0,1,5,6
1543020,8/8/2024,Bronze Medal,Hockey,India,Hardik SINGH,9/23/1998,Male,0,0,0,1,5,6
1543021,8/8/2024,Bronze Medal,Hockey,India,Vivek Sagar PRASAD,2/25/2000,Male,0,0,0,1,5,6
1543022,8/8/2024,Bronze Medal,Hockey,India,Mandeep SINGH,1/25/1995,Male,0,0,0,1,5,6
1543024,8/8/2024,Bronze Medal,Hockey,India,Shamsher SINGH,7/29/1997,Male,0,0,0,1,5,6
1543026,8/8/2024,Bronze Medal,Hockey,India,Abhishek ABHISHEK,8/15/1999,Male,0,0,0,1,5,6
1543028,8/8/2024,Bronze Medal,Hockey,India,Lalit Kumar UPADHYAY,12/1/1993,Male,0,0,0,1,5,6
1543029,8/8/2024,Bronze Medal,Hockey,India,Raj Kumar PAL,5/1/1998,Male,0,0,0,1,5,6
1543030,8/8/2024,Bronze Medal,Hockey,India,Sukhjeet SINGH,12/5/1996,Male,0,0,0,1,5,6
1543031,8/8/2024,Bronze Medal,Hockey,India,Amit ROHIDAS,5/10/1993,Male,0,0,0,1,5,6
1543033,8/8/2024,Bronze Medal,Hockey,India,Gurjant SINGH,1/26/1995,Male,0,0,0,1,5,6
1543059,8/8/2024,Bronze Medal,Hockey,India,Manpreet SINGH,6/26/1992,Male,0,0,0,1,5,6
1543061,8/8/2024,Bronze Medal,Hockey,India,Sanjay SANJAY,5/5/2001,Male,0,0,0,1,5,6
