medal_date,medal_type,athlete_id,discipline
2024-07-30,Silver Medal,1537287,Judo
2024-07-30,Bronze Medal,1891289,Judo
2024-07-30,Bronze Medal,1550167,Judo
2024-07-30,Gold Medal,1904430,Shooting
2024-07-30,Silver Medal,1913928,Shooting
2024-07-30,Bronze Medal,1958970,Shooting
2024-07-30,Gold Medal,1539969,Swimming
2024-07-30,Silver Medal,1935902,Swimming
2024-07-30,Bronze Medal,1925630,Swimming
2024-07-30,Gold Medal,1946198,Swimming
2024-07-30,Silver Medal,1935984,Swimming
2024-07-30,Bronze Medal,1935873,Swimming
2024-07-31,Gold Medal,1919480,Artistic Gymnastics
2024-07-31,Silver Medal,1918864,Artistic Gymnastics
2024-07-31,Bronze Medal,1918860,Artistic Gymnastics
2024-07-31,Gold Medal,1940205,Canoe Slalom
2024-07-31,Silver Medal,1913770,Canoe Slalom
2024-07-31,Bronze Medal,1955132,Canoe Slalom
2024-07-31,Gold Medal,1916809,Cycling BMX Freestyle
2024-07-31,Silver Medal,1912548,Cycling BMX Freestyle
2024-07-31,Bronze Medal,1895685,Cycling BMX Freestyle
2024-07-31,Gold Medal,1920569,Cycling BMX Freestyle
2024-07-31,Silver Medal,1955071,Cycling BMX Freestyle
2024-07-31,Bronze Medal,1940118,Cycling BMX Freestyle
2024-07-31,Gold Medal,1548817,Judo
2024-07-31,Silver Medal,1896750,Judo
2024-07-31,Bronze Medal,1891318,Judo
2024-07-31,Bronze Medal,1961318,Judo
2024-07-31,Gold Medal,1898499,Judo
2024-07-31,Silver Medal,1563082,Judo
2024-07-31,Bronze Medal,1566421,Judo
2024-07-31,Bronze Medal,1903248,Judo
2024-07-31,Gold Medal,1958899,Shooting
2024-07-31,Silver Medal,1915317,Shooting
2024-07-31,Bronze Medal,1967454,Shooting
2024-07-31,Gold Medal,1945148,Swimming
2024-07-31,Silver Medal,1946200,Swimming
2024-07-31,Bronze Medal,1543549,Swimming
2024-07-31,Gold Medal,1909294,Swimming
2024-07-31,Silver Medal,1946185,Swimming
2024-07-31,Bronze Medal,1972545,Swimming
2024-07-31,Gold Medal,1909294,Swimming
2024-07-31,Silver Medal,1905860,Swimming
2024-07-31,Bronze Medal,1967058,Swimming
2024-07-31,Gold Medal,1572557,Swimming
2024-07-31,Silver Medal,1935923,Swimming
2024-07-31,Bronze Medal,1925125,Swimming
2024-07-31,Gold Medal,1935938,Swimming
2024-07-31,Silver Medal,1909209,Swimming
2024-07-31,Bronze Medal,1907171,Swimming
2024-07-31,Gold Medal,1904251,Triathlon
2024-07-31,Silver Medal,1926549,Triathlon
2024-07-31,Bronze Medal,1543967,Triathlon
2024-07-31,Gold Medal,1543963,Triathlon
2024-07-31,Silver Medal,1976489,Triathlon
2024-07-31,Bronze Medal,1904244,Triathlon
2024-08-01,Gold Medal,1959861,Artistic Gymnastics
2024-08-01,Silver Medal,1953634,Artistic Gymnastics
2024-08-01,Bronze Medal,1959866,Artistic Gymnastics
2024-08-01,Gold Medal,1929767,Athletics
2024-08-01,Silver Medal,1951928,Athletics
2024-08-01,Bronze Medal,1904165,Athletics
2024-08-01,Gold Medal,1919002,Athletics
2024-08-01,Silver Medal,1905369,Athletics
2024-08-01,Bronze Medal,1939791,Athletics
2024-08-01,Gold Medal,1550975,Canoe Slalom
2024-08-01,Silver Medal,1880464,Canoe Slalom
2024-08-01,Bronze Medal,1953935,Canoe Slalom
2024-08-01,Gold Medal,1972367,Judo
2024-08-01,Silver Medal,1552370,Judo
2024-08-01,Bronze Medal,1892957,Judo
2024-08-01,Bronze Medal,1565754,Judo
2024-08-01,Gold Medal,1925349,Judo
2024-08-01,Silver Medal,1892794,Judo
2024-08-01,Bronze Medal,1891067,Judo
2024-08-01,Bronze Medal,1943504,Judo
2024-08-01,Gold Medal,1913922,Shooting
2024-08-01,Silver Medal,1555976,Shooting
2024-08-01,Bronze Medal,1538084,Shooting
2024-08-01,Gold Medal,1904977,Swimming
2024-08-01,Silver Medal,1954557,Swimming
2024-08-01,Bronze Medal,1977754,Swimming
2024-08-01,Gold Medal,1935895,Swimming
2024-08-01,Silver Medal,1962589,Swimming
2024-08-01,Bronze Medal,1972525,Swimming
2024-08-01,Gold Medal,1967140,Swimming
2024-08-01,Silver Medal,1935984,Swimming
2024-08-01,Bronze Medal,1945125,Swimming
2024-08-02,Gold Medal,1970827,Athletics
2024-08-02,Silver Medal,1536998,Athletics
2024-08-02,Bronze Medal,1960959,Athletics
2024-08-02,Gold Medal,1895661,Cycling BMX Racing
2024-08-02,Silver Medal,1895640,Cycling BMX Racing
2024-08-02,Bronze Medal,1895700,Cycling BMX Racing
2024-08-02,Gold Medal,1940127,Cycling BMX Racing
2024-08-02,Silver Medal,1969181,Cycling BMX Racing
2024-08-02,Bronze Medal,1976480,Cycling BMX Racing
2024-08-02,Gold Medal,1891323,Judo
2024-08-02,Silver Medal,1928072,Judo
2024-08-02,Bronze Medal,1567512,Judo
2024-08-02,Bronze Medal,1566931,Judo
2024-08-02,Gold Medal,1953777,Judo
2024-08-02,Silver Medal,1892796,Judo
2024-08-02,Bronze Medal,1928070,Judo
2024-08-02,Bronze Medal,1891300,Judo
2024-08-02,Gold Medal,1977709,Shooting
2024-08-02,Silver Medal,1944373,Shooting
2024-08-02,Bronze Medal,1913972,Shooting
2024-08-02,Gold Medal,1909294,Swimming
2024-08-02,Silver Medal,1903621,Swimming
2024-08-02,Bronze Medal,1945186,Swimming
2024-08-02,Gold Medal,1946161,Swimming
2024-08-02,Silver Medal,1903616,Swimming
2024-08-02,Bronze Medal,1909292,Swimming
2024-08-02,Gold Medal,1946198,Swimming
2024-08-02,Silver Medal,1935984,Swimming
2024-08-02,Bronze Medal,1967104,Swimming
2024-08-02,Bronze Medal,1931815,Tennis
2024-08-02,Gold Medal,1937347,Trampoline Gymnastics
2024-08-02,Silver Medal,1918790,Trampoline Gymnastics
2024-08-02,Bronze Medal,1918789,Trampoline Gymnastics
2024-08-02,Gold Medal,1904745,Trampoline Gymnastics
2024-08-02,Silver Medal,1938437,Trampoline Gymnastics
2024-08-02,Bronze Medal,1973102,Trampoline Gymnastics
2024-08-03,Gold Medal,1902147,Archery
2024-08-03,Silver Medal,1902148,Archery
2024-08-03,Bronze Medal,1541265,Archery
2024-08-03,Gold Medal,1975874,Artistic Gymnastics
2024-08-03,Silver Medal,1908195,Artistic Gymnastics
2024-08-03,Bronze Medal,1904741,Artistic Gymnastics
2024-08-03,Gold Medal,1539986,Artistic Gymnastics
2024-08-03,Silver Medal,1931577,Artistic Gymnastics
2024-08-03,Bronze Medal,1959865,Artistic Gymnastics
2024-08-03,Gold Medal,1959861,Artistic Gymnastics
2024-08-03,Silver Medal,1953634,Artistic Gymnastics
2024-08-03,Bronze Medal,1959819,Artistic Gymnastics
2024-08-03,Gold Medal,1878353,Athletics
2024-08-03,Silver Medal,1920180,Athletics
2024-08-03,Bronze Medal,1573388,Athletics
2024-08-03,Gold Medal,1960688,Athletics
2024-08-03,Silver Medal,1965246,Athletics
2024-08-03,Bronze Medal,1564189,Athletics
2024-08-03,Gold Medal,1537325,Athletics
2024-08-03,Silver Medal,1960181,Athletics
2024-08-03,Bronze Medal,1961011,Athletics
2024-08-03,Gold Medal,1908333,Athletics
2024-08-03,Silver Medal,1536885,Athletics
2024-08-03,Bronze Medal,1965250,Athletics
2024-08-03,Bronze Medal,1887970,Boxing
2024-08-03,Bronze Medal,1952540,Boxing
2024-08-03,Gold Medal,1903136,Cycling Road
2024-08-03,Silver Medal,1895699,Cycling Road
2024-08-03,Bronze Medal,1895694,Cycling Road
2024-08-03,Gold Medal,1906515,Rowing
2024-08-03,Silver Medal,1538160,Rowing
2024-08-03,Bronze Medal,1965599,Rowing
2024-08-03,Gold Medal,1965558,Rowing
2024-08-03,Silver Medal,1927027,Rowing
2024-08-03,Bronze Medal,1941956,Rowing
2024-08-03,Gold Medal,1927680,Sailing
2024-08-03,Silver Medal,1945982,Sailing
2024-08-03,Bronze Medal,1970505,Sailing
2024-08-03,Gold Medal,1899653,Sailing
2024-08-03,Silver Medal,1927733,Sailing
2024-08-03,Bronze Medal,1899748,Sailing
2024-08-03,Gold Medal,1893995,Shooting
2024-08-03,Silver Medal,1888429,Shooting
2024-08-03,Bronze Medal,1899493,Shooting
2024-08-03,Gold Medal,1944354,Shooting
2024-08-03,Silver Medal,1944385,Shooting
2024-08-03,Bronze Medal,1569852,Shooting
2024-08-03,Gold Medal,1905860,Swimming
2024-08-03,Silver Medal,1967069,Swimming
2024-08-03,Bronze Medal,1967058,Swimming
2024-08-03,Gold Medal,1967140,Swimming
2024-08-03,Silver Medal,1935895,Swimming
2024-08-03,Bronze Medal,1946198,Swimming
2024-08-03,Gold Medal,1935938,Swimming
2024-08-03,Silver Medal,1946150,Swimming
2024-08-03,Bronze Medal,1935943,Swimming
2024-08-03,Gold Medal,1902307,Table Tennis
2024-08-03,Silver Medal,1902313,Table Tennis
2024-08-03,Bronze Medal,1931100,Table Tennis
2024-08-03,Bronze Medal,1562400,Tennis
2024-08-03,Gold Medal,1927709,Tennis
2024-08-03,Silver Medal,1554972,Tennis
2024-08-04,Gold Medal,1902135,Archery
2024-08-04,Silver Medal,1955595,Archery
2024-08-04,Bronze Medal,1902144,Archery
2024-08-04,Gold Medal,1918856,Artistic Gymnastics
2024-08-04,Silver Medal,1918865,Artistic Gymnastics
2024-08-04,Bronze Medal,1961314,Artistic Gymnastics
2024-08-04,Gold Medal,1975874,Artistic Gymnastics
2024-08-04,Silver Medal,1915828,Artistic Gymnastics
